Year;Cement (Energy);Cement (process);Steel (MC);Steel (CC);Steel EOF;;;;;;;;;;;;;
2005; 9.3 ; 14.1 ;36.5;4.0;1.3;;;;;;;;;;;;;
2006; 10.1 ; 15.3 ;34.9;4.0;1.4;;;;;;;;;;;;;
2007; 11.5 ; 17.0 ;38.1;4.3;1.6;;;;;;;;;;;;;
2008; 12.5 ; 18.5 ;38.3;4.3;1.5;;;;;;;;;;;;;
2009; 13.1 ; 18.6 ;30.4;3.1;1.2;;;;;;;;;;;;;
2010; 14.8 ; 21.0 ;40.3;4.0;0.9;;;;;;;;;;;;;
2011; 17.2 ; 22.6 ;43.2;4.0;1.1;;;;;;;;;;;;;
2012; 17.3 ; 24.2 ;42.3;3.5;0.9;;;;;;;;;;;;;
2013; 17.9 ; 24.5 ;41.1;3.4;0.9;;;;;;;;;;;;;
2014; 18.1 ; 24.7 ;41.7;3.7;0.8;;;;;;;;;;;;;
2015; 16.1 ; 22.5 ;43.4;3.4;0.8;;;;;;;;;;;;;
2016; 14.4 ; 20.6 ;39.0;3.3;0.7;;;;;;;;;;;;;
2017; 13.5 ; 18.5 ;47.0;3.5;0.8;;;;;;;;;;;;;
2018; 13.4 ; 18.4 ;47.9;3.6;0.9;;;;;;;;;;;;;
2019; 13.5 ; 18.6 ;43.9;3.3;0.8;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
